proxy_split,role,grouped_scene_id,frame_stem,tile_id,tile_stem
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__007_1631704334.800000024,tile_1_0,4_station_pedestrian_bridge_4.3__007_1631704334.800000024__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__007_1631704334.800000024,tile_1_1,4_station_pedestrian_bridge_4.3__007_1631704334.800000024__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__008_1631704334.900000026,tile_0_0,4_station_pedestrian_bridge_4.3__008_1631704334.900000026__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__008_1631704334.900000026,tile_0_1,4_station_pedestrian_bridge_4.3__008_1631704334.900000026__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__008_1631704334.900000026,tile_1_0,4_station_pedestrian_bridge_4.3__008_1631704334.900000026__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__008_1631704334.900000026,tile_1_1,4_station_pedestrian_bridge_4.3__008_1631704334.900000026__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__009_1631704335.000000028,tile_0_0,4_station_pedestrian_bridge_4.3__009_1631704335.000000028__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__009_1631704335.000000028,tile_0_1,4_station_pedestrian_bridge_4.3__009_1631704335.000000028__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__009_1631704335.000000028,tile_1_0,4_station_pedestrian_bridge_4.3__009_1631704335.000000028__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__009_1631704335.000000028,tile_1_1,4_station_pedestrian_bridge_4.3__009_1631704335.000000028__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__045_1631704338.600000018,tile_0_0,4_station_pedestrian_bridge_4.3__045_1631704338.600000018__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__045_1631704338.600000018,tile_0_1,4_station_pedestrian_bridge_4.3__045_1631704338.600000018__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__045_1631704338.600000018,tile_1_0,4_station_pedestrian_bridge_4.3__045_1631704338.600000018__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__045_1631704338.600000018,tile_1_1,4_station_pedestrian_bridge_4.3__045_1631704338.600000018__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__046_1631704338.700000026,tile_0_0,4_station_pedestrian_bridge_4.3__046_1631704338.700000026__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__046_1631704338.700000026,tile_0_1,4_station_pedestrian_bridge_4.3__046_1631704338.700000026__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__046_1631704338.700000026,tile_1_0,4_station_pedestrian_bridge_4.3__046_1631704338.700000026__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__046_1631704338.700000026,tile_1_1,4_station_pedestrian_bridge_4.3__046_1631704338.700000026__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__047_1631704338.800000002,tile_0_0,4_station_pedestrian_bridge_4.3__047_1631704338.800000002__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__047_1631704338.800000002,tile_0_1,4_station_pedestrian_bridge_4.3__047_1631704338.800000002__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__047_1631704338.800000002,tile_1_0,4_station_pedestrian_bridge_4.3__047_1631704338.800000002__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__047_1631704338.800000002,tile_1_1,4_station_pedestrian_bridge_4.3__047_1631704338.800000002__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__048_1631704338.900000010,tile_0_0,4_station_pedestrian_bridge_4.3__048_1631704338.900000010__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__048_1631704338.900000010,tile_0_1,4_station_pedestrian_bridge_4.3__048_1631704338.900000010__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__048_1631704338.900000010,tile_1_0,4_station_pedestrian_bridge_4.3__048_1631704338.900000010__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__048_1631704338.900000010,tile_1_1,4_station_pedestrian_bridge_4.3__048_1631704338.900000010__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__049_1631704339.000000018,tile_0_0,4_station_pedestrian_bridge_4.3__049_1631704339.000000018__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__049_1631704339.000000018,tile_0_1,4_station_pedestrian_bridge_4.3__049_1631704339.000000018__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__049_1631704339.000000018,tile_1_0,4_station_pedestrian_bridge_4.3__049_1631704339.000000018__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__049_1631704339.000000018,tile_1_1,4_station_pedestrian_bridge_4.3__049_1631704339.000000018__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__050_1631704339.100000025,tile_0_0,4_station_pedestrian_bridge_4.3__050_1631704339.100000025__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__050_1631704339.100000025,tile_0_1,4_station_pedestrian_bridge_4.3__050_1631704339.100000025__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__050_1631704339.100000025,tile_1_0,4_station_pedestrian_bridge_4.3__050_1631704339.100000025__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__050_1631704339.100000025,tile_1_1,4_station_pedestrian_bridge_4.3__050_1631704339.100000025__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__051_1631704339.200000001,tile_0_0,4_station_pedestrian_bridge_4.3__051_1631704339.200000001__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__051_1631704339.200000001,tile_0_1,4_station_pedestrian_bridge_4.3__051_1631704339.200000001__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__051_1631704339.200000001,tile_1_0,4_station_pedestrian_bridge_4.3__051_1631704339.200000001__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__051_1631704339.200000001,tile_1_1,4_station_pedestrian_bridge_4.3__051_1631704339.200000001__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__052_1631704339.300000009,tile_0_0,4_station_pedestrian_bridge_4.3__052_1631704339.300000009__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__052_1631704339.300000009,tile_0_1,4_station_pedestrian_bridge_4.3__052_1631704339.300000009__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__052_1631704339.300000009,tile_1_0,4_station_pedestrian_bridge_4.3__052_1631704339.300000009__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__052_1631704339.300000009,tile_1_1,4_station_pedestrian_bridge_4.3__052_1631704339.300000009__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__053_1631704339.400000017,tile_0_0,4_station_pedestrian_bridge_4.3__053_1631704339.400000017__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__053_1631704339.400000017,tile_0_1,4_station_pedestrian_bridge_4.3__053_1631704339.400000017__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__053_1631704339.400000017,tile_1_0,4_station_pedestrian_bridge_4.3__053_1631704339.400000017__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__053_1631704339.400000017,tile_1_1,4_station_pedestrian_bridge_4.3__053_1631704339.400000017__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__054_1631704339.500000024,tile_0_0,4_station_pedestrian_bridge_4.3__054_1631704339.500000024__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__054_1631704339.500000024,tile_0_1,4_station_pedestrian_bridge_4.3__054_1631704339.500000024__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__054_1631704339.500000024,tile_1_0,4_station_pedestrian_bridge_4.3__054_1631704339.500000024__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__054_1631704339.500000024,tile_1_1,4_station_pedestrian_bridge_4.3__054_1631704339.500000024__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__055_1631704339.600000000,tile_0_0,4_station_pedestrian_bridge_4.3__055_1631704339.600000000__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__055_1631704339.600000000,tile_0_1,4_station_pedestrian_bridge_4.3__055_1631704339.600000000__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__055_1631704339.600000000,tile_1_0,4_station_pedestrian_bridge_4.3__055_1631704339.600000000__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__055_1631704339.600000000,tile_1_1,4_station_pedestrian_bridge_4.3__055_1631704339.600000000__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__056_1631704339.700000006,tile_0_0,4_station_pedestrian_bridge_4.3__056_1631704339.700000006__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__056_1631704339.700000006,tile_0_1,4_station_pedestrian_bridge_4.3__056_1631704339.700000006__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__056_1631704339.700000006,tile_1_0,4_station_pedestrian_bridge_4.3__056_1631704339.700000006__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__056_1631704339.700000006,tile_1_1,4_station_pedestrian_bridge_4.3__056_1631704339.700000006__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__057_1631704339.800000010,tile_0_0,4_station_pedestrian_bridge_4.3__057_1631704339.800000010__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__057_1631704339.800000010,tile_0_1,4_station_pedestrian_bridge_4.3__057_1631704339.800000010__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__057_1631704339.800000010,tile_1_0,4_station_pedestrian_bridge_4.3__057_1631704339.800000010__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__057_1631704339.800000010,tile_1_1,4_station_pedestrian_bridge_4.3__057_1631704339.800000010__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__058_1631704339.900000014,tile_0_0,4_station_pedestrian_bridge_4.3__058_1631704339.900000014__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__058_1631704339.900000014,tile_0_1,4_station_pedestrian_bridge_4.3__058_1631704339.900000014__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__058_1631704339.900000014,tile_1_0,4_station_pedestrian_bridge_4.3__058_1631704339.900000014__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__058_1631704339.900000014,tile_1_1,4_station_pedestrian_bridge_4.3__058_1631704339.900000014__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__059_1631704340.000000018,tile_0_0,4_station_pedestrian_bridge_4.3__059_1631704340.000000018__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__059_1631704340.000000018,tile_0_1,4_station_pedestrian_bridge_4.3__059_1631704340.000000018__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__059_1631704340.000000018,tile_1_0,4_station_pedestrian_bridge_4.3__059_1631704340.000000018__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__059_1631704340.000000018,tile_1_1,4_station_pedestrian_bridge_4.3__059_1631704340.000000018__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__060_1631704340.100000022,tile_0_0,4_station_pedestrian_bridge_4.3__060_1631704340.100000022__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__060_1631704340.100000022,tile_0_1,4_station_pedestrian_bridge_4.3__060_1631704340.100000022__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__060_1631704340.100000022,tile_1_0,4_station_pedestrian_bridge_4.3__060_1631704340.100000022__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__060_1631704340.100000022,tile_1_1,4_station_pedestrian_bridge_4.3__060_1631704340.100000022__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__061_1631704340.200000026,tile_0_0,4_station_pedestrian_bridge_4.3__061_1631704340.200000026__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__061_1631704340.200000026,tile_0_1,4_station_pedestrian_bridge_4.3__061_1631704340.200000026__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__061_1631704340.200000026,tile_1_0,4_station_pedestrian_bridge_4.3__061_1631704340.200000026__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__061_1631704340.200000026,tile_1_1,4_station_pedestrian_bridge_4.3__061_1631704340.200000026__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__062_1631704340.300000030,tile_0_0,4_station_pedestrian_bridge_4.3__062_1631704340.300000030__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__062_1631704340.300000030,tile_0_1,4_station_pedestrian_bridge_4.3__062_1631704340.300000030__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__062_1631704340.300000030,tile_1_0,4_station_pedestrian_bridge_4.3__062_1631704340.300000030__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__062_1631704340.300000030,tile_1_1,4_station_pedestrian_bridge_4.3__062_1631704340.300000030__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__063_1631704340.400000002,tile_0_0,4_station_pedestrian_bridge_4.3__063_1631704340.400000002__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__063_1631704340.400000002,tile_0_1,4_station_pedestrian_bridge_4.3__063_1631704340.400000002__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__063_1631704340.400000002,tile_1_0,4_station_pedestrian_bridge_4.3__063_1631704340.400000002__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__063_1631704340.400000002,tile_1_1,4_station_pedestrian_bridge_4.3__063_1631704340.400000002__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__064_1631704340.500000006,tile_0_0,4_station_pedestrian_bridge_4.3__064_1631704340.500000006__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__064_1631704340.500000006,tile_0_1,4_station_pedestrian_bridge_4.3__064_1631704340.500000006__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__064_1631704340.500000006,tile_1_0,4_station_pedestrian_bridge_4.3__064_1631704340.500000006__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__064_1631704340.500000006,tile_1_1,4_station_pedestrian_bridge_4.3__064_1631704340.500000006__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__065_1631704340.600000010,tile_0_0,4_station_pedestrian_bridge_4.3__065_1631704340.600000010__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__065_1631704340.600000010,tile_0_1,4_station_pedestrian_bridge_4.3__065_1631704340.600000010__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__065_1631704340.600000010,tile_1_0,4_station_pedestrian_bridge_4.3__065_1631704340.600000010__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__065_1631704340.600000010,tile_1_1,4_station_pedestrian_bridge_4.3__065_1631704340.600000010__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__066_1631704340.700000010,tile_0_0,4_station_pedestrian_bridge_4.3__066_1631704340.700000010__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__066_1631704340.700000010,tile_0_1,4_station_pedestrian_bridge_4.3__066_1631704340.700000010__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__066_1631704340.700000010,tile_1_0,4_station_pedestrian_bridge_4.3__066_1631704340.700000010__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__066_1631704340.700000010,tile_1_1,4_station_pedestrian_bridge_4.3__066_1631704340.700000010__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__067_1631704340.800000006,tile_0_0,4_station_pedestrian_bridge_4.3__067_1631704340.800000006__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__067_1631704340.800000006,tile_0_1,4_station_pedestrian_bridge_4.3__067_1631704340.800000006__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__067_1631704340.800000006,tile_1_0,4_station_pedestrian_bridge_4.3__067_1631704340.800000006__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__067_1631704340.800000006,tile_1_1,4_station_pedestrian_bridge_4.3__067_1631704340.800000006__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__068_1631704340.900000001,tile_0_0,4_station_pedestrian_bridge_4.3__068_1631704340.900000001__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__068_1631704340.900000001,tile_0_1,4_station_pedestrian_bridge_4.3__068_1631704340.900000001__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__068_1631704340.900000001,tile_1_0,4_station_pedestrian_bridge_4.3__068_1631704340.900000001__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__068_1631704340.900000001,tile_1_1,4_station_pedestrian_bridge_4.3__068_1631704340.900000001__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__069_1631704341.000000029,tile_0_0,4_station_pedestrian_bridge_4.3__069_1631704341.000000029__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__069_1631704341.000000029,tile_0_1,4_station_pedestrian_bridge_4.3__069_1631704341.000000029__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__069_1631704341.000000029,tile_1_0,4_station_pedestrian_bridge_4.3__069_1631704341.000000029__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__069_1631704341.000000029,tile_1_1,4_station_pedestrian_bridge_4.3__069_1631704341.000000029__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__070_1631704341.100000025,tile_0_0,4_station_pedestrian_bridge_4.3__070_1631704341.100000025__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__070_1631704341.100000025,tile_0_1,4_station_pedestrian_bridge_4.3__070_1631704341.100000025__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__070_1631704341.100000025,tile_1_0,4_station_pedestrian_bridge_4.3__070_1631704341.100000025__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__070_1631704341.100000025,tile_1_1,4_station_pedestrian_bridge_4.3__070_1631704341.100000025__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__071_1631704341.200000020,tile_0_0,4_station_pedestrian_bridge_4.3__071_1631704341.200000020__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__071_1631704341.200000020,tile_0_1,4_station_pedestrian_bridge_4.3__071_1631704341.200000020__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__071_1631704341.200000020,tile_1_0,4_station_pedestrian_bridge_4.3__071_1631704341.200000020__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__071_1631704341.200000020,tile_1_1,4_station_pedestrian_bridge_4.3__071_1631704341.200000020__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__072_1631704341.300000016,tile_0_0,4_station_pedestrian_bridge_4.3__072_1631704341.300000016__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__072_1631704341.300000016,tile_0_1,4_station_pedestrian_bridge_4.3__072_1631704341.300000016__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__072_1631704341.300000016,tile_1_0,4_station_pedestrian_bridge_4.3__072_1631704341.300000016__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__072_1631704341.300000016,tile_1_1,4_station_pedestrian_bridge_4.3__072_1631704341.300000016__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__073_1631704341.400000011,tile_0_0,4_station_pedestrian_bridge_4.3__073_1631704341.400000011__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__073_1631704341.400000011,tile_0_1,4_station_pedestrian_bridge_4.3__073_1631704341.400000011__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__073_1631704341.400000011,tile_1_0,4_station_pedestrian_bridge_4.3__073_1631704341.400000011__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__073_1631704341.400000011,tile_1_1,4_station_pedestrian_bridge_4.3__073_1631704341.400000011__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__074_1631704341.500000007,tile_0_0,4_station_pedestrian_bridge_4.3__074_1631704341.500000007__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__074_1631704341.500000007,tile_0_1,4_station_pedestrian_bridge_4.3__074_1631704341.500000007__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__074_1631704341.500000007,tile_1_0,4_station_pedestrian_bridge_4.3__074_1631704341.500000007__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__074_1631704341.500000007,tile_1_1,4_station_pedestrian_bridge_4.3__074_1631704341.500000007__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__075_1631704341.600000003,tile_0_0,4_station_pedestrian_bridge_4.3__075_1631704341.600000003__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__075_1631704341.600000003,tile_0_1,4_station_pedestrian_bridge_4.3__075_1631704341.600000003__tile_0_1
